"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","608","Вопрос: Сколько это стоит? И как оплатить?","tests","2026-07-06","passed","2026-07-06","TestFAQ","test_faq","",""
"","615","Вопрос: Можно ли продлить заказ или вернуть самокат раньше?","tests","2026-07-06","passed","2026-07-06","TestFAQ","test_faq","",""
"","593","Вопрос: Можно ли заказать самокат прямо на сегодня?","tests","2026-07-06","passed","2026-07-06","TestFAQ","test_faq","",""
"","613","Вопрос: Вы привозите зарядку вместе с самокатом?","tests","2026-07-06","passed","2026-07-06","TestFAQ","test_faq","",""
"","2537","Позитивный сценарий заказа: Мария Петрова","tests","2026-07-06","passed","2026-07-06","TestOrder","test_order","",""
"","612","Логотип Яндекса открывает главную страницу Дзена","tests","2026-07-06","passed","2026-07-06","TestLogo","test_logo","",""
"","614","Вопрос: Как рассчитывается время аренды?","tests","2026-07-06","passed","2026-07-06","TestFAQ","test_faq","",""
"","614","Вопрос: Хочу сразу несколько самокатов! Так можно?","tests","2026-07-06","passed","2026-07-06","TestFAQ","test_faq","",""
"","214","Логотип Самоката ведёт на главную страницу","tests","2026-07-06","passed","2026-07-06","TestLogo","test_logo","",""
"","605","Вопрос: Я жизу за МКАДом, привезёте?","tests","2026-07-06","passed","2026-07-06","TestFAQ","test_faq","",""
"","2685","Позитивный сценарий заказа: Иван Иванов","tests","2026-07-06","passed","2026-07-06","TestOrder","test_order","",""
"","592","Вопрос: Можно ли отменить заказ?","tests","2026-07-06","passed","2026-07-06","TestFAQ","test_faq","",""
